Time,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.0,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.02,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.04,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.06,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.08,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.1,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.12,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.14,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.16,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.18,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.2
14.666666666666607,108.33422585449969,97.58163725426769,87.15666441658703,77.16350487829318,67.69680622835521,58.83742042794975,50.64899165995334,43.17569081021298,36.44127216614929,30.449467831148564,25.185582749415197
14.708333333333274,108.3454847439114,97.55127474542807,87.09153205964019,77.07077488989017,67.5836717693719,58.7107965180177,50.51524387328221,43.04041525855702,36.3091431684417,30.324160555851105,25.069768803127666
14.74999999999994,108.35669914475992,97.52105725492409,87.02676719175302,76.97865169324426,67.47138288285213,58.58523957143085,50.38275233925682,42.906541957491264,36.1785123178088,30.200395043664503,24.95549007488405
14.791666666666606,108.36786922344315,97.49098400670043,86.96236726896618,76.88713014370568,67.3599310881783,58.46073723525215,50.25150057522167,42.77405036026157,36.049355392572735,30.078144068832536,24.842717212119815
14.833333333333272,108.37899514581271,97.46105422960085,86.89832976960946,76.79620515322684,67.24930801628068,58.33727734503585,50.12147238422836,42.642920318318446,35.921648689278165,29.957381041901318,24.731421604967764
14.874999999999938,108.39007707717515,97.43126715733055,86.83465219405858,76.70587168958504,67.139505407807,58.21484792124256,49.99265184886756,42.51313207171216,35.795369008901936,29.838079991233418,24.621575362910903
14.916666666666604,108.40111518229313,97.40162202841898,86.77133206449516,76.6161247756179,67.03051511132804,58.09343716573579,49.86502332526016,42.38466623976461,35.6704936435009,29.72021554516283,24.513151292310503
14.95833333333327,108.4121096253865,97.372118086183,86.70836692466978,76.52695948847148,66.92232908157845,57.97303345835798,49.73857143720289,42.257503812008636,35.547000363281505,29.60376291476483,24.4061228747714
14.999999999999936,108.42306057013363,97.34275457869023,86.6457543396682,76.43837095886059,66.81493937773173,57.85362535358367,49.613281070463486,42.1316261393858,35.42486740407595,29.488697877216318,24.30046424630826
15.041666666666602,108.43396817967238,97.31353075872308,86.58349189568061,76.35035437034124,66.70833816170881,57.73520157724809,49.48913736722126,42.00701492569421,35.304073455209824,29.374996759723057,24.19615017727855
15.083333333333268,108.44483261660146,97.28444588374262,86.52157719977382,76.26290495859489,66.60251769651946,57.6177510233489,49.366125720648704,41.883652219277984,35.18459764774724,29.262636423991445,24.093156053049356
15.124999999999934,108.45565404298154,97.25549921585326,86.46000787966646,76.17601801072435,66.49747034463573,57.501262750919366,49.24423176962984,41.76152040495064,35.06641954309965,29.15159425122343,23.99145785536708
15.1666666666666,108.4664326203364,97.22669002176747,86.39878158350714,76.08968886456105,66.39318856639666,57.38572598097111,49.12344139361149,41.640602196144464,34.94951912198542,29.041848127614067,23.891032144400235
15.208333333333266,108.47716850965423,97.19801757277084,86.33789597965534,76.00391290798352,66.28966491844368,57.27113009350452,49.00374070758346,41.52088062727885,34.83387677372755,28.933376430332274,23.79185604142725
15.249999999999932,108.48786187138872,97.1694811446876,86.27734875646522,75.9186855782468,66.18689205218588,57.15746462458519,48.88511605718384,41.40233904634025,34.71947328587758,28.826158013965998,23.69390721214238
15.291666666666599,108.49851286546026,97.13226067168446,86.19970741198773,75.8085074452654,66.05216331664822,57.005940428316265,48.724015590245045,41.23809462678516,34.55755128021865,28.670959610025054,23.548747220661934
15.333333333333265,108.5091216512572,97.09522328731376,86.122527644929,75.69910477766429,65.91853876628859,56.8558425435028,48.56463672413888,41.07582304890449,34.39779651941466,28.51805841432628,23.405947644128826
15.37499999999993,108.51968838763698,97.05836796310241,86.04580601538815,75.59047035693243,65.78600602804985,56.70715221015112,48.40695337020268,40.915490362834554,34.24016714070569,28.367405095661155,23.265452583313966
15.416666666666597,108.53021323292737,97.02169367751834,85.96953911627502,75.48259705233906,65.65455291144487,56.55985099426142,48.25093996278567,40.757063391924525,34.08462235144214,28.218951724260407,23.12720788938682
15.458333333333263,108.54069634492767,96.98519941591304,85.89372357291977,75.37547781960158,65.52416740519797,56.41392078077264,48.096571446202326,40.60050971084233,33.931122395102406,28.072651722372232,22.99116109592778
